매크로명,대분류,중분류,소분류,질문 카테고리,모범 답안
,가격,결제,수수료,카드 수수료 있어요?,
가격_결제_신용카드,가격,결제,신용카드,수술비나 진료비를 신용카드로 결제할 수 있나요?,"네, 고객님. 물론입니다. 진료비, 검사비, 수술비 모두 신용카드로 결제 가능합니다.
할부 가능 개월 수는 카드사 정책에 따라 다르므로, 사용하시는 카드사에 문의해 보시는 것이 가장 정확합니다.
와우패스(Wowpass) 결제 방식을 지원하지 않습니다~

고객님의 편의를 위해 다양한 결제 방식을 제공합니다:
현금 결제 💵
신용카드 결제 💳

비자(Visa) 및 마스터카드(MasterCard) 지원
안과 수술은 부가세가 없으므로 세금 환급(Tax Refund)이 필요 없습니다❣"
,가격,결제,신용카드,카드결제 돼요?,
가격_면세_세금환급,가격,면세,세금환급,시력교정 수술 비용에 대해 세금 환급(Tax Refund)을 받을 수 있나요?,"네, 고객님. 안과 수술은 부가세가 없으므로 세금 환급(Tax Refund)이 필요 없습니다❣
할부 가능 개월 수는 카드사 정책에 따라 다르므로, 사용하시는 카드사에 문의해 보시는 것이 가장 정확합니다.
와우패스(Wowpass) 결제 방식을 지원하지 않습니다~

고객님의 편의를 위해 다양한 결제 방식을 제공합니다:
현금 결제 💵
신용카드 결제 💳

비자(Visa) 및 마스터카드(MasterCard) 지원가능합니다!"
,가격,면세,세금환급,세금 환급 돼요?,
가격_시술비용_검사비,가격,시술비용,검사비,검사만 받고 수술을 하지 않을 경우에도 비용이 드나요?,"네, 고객님. 수술 전 정밀 검사는 50여 가지 항목에 걸쳐 진행되며, 수술을 진행하지 않고 검사만 받으실 경우에는 검사비 15만원이 발생합니다. 
만약 검사 후 당일 수술을 진행하시면 검사비는 수술비에 포함되어 별도로 청구되지 않습니다."
,가격,시술비용,검사비,검사비 얼마예요?,
가격_시술비용_추가비용,가격,시술비용,추가비용,수술 후 관리 비용이나 추가로 드는 비용이 있나요?,"네, 고객님. 저희 병원에서 안내해 드리는 수술 비용에는 수술 후 회복에 필요한  자가혈청 안약(PRP)과 정기 검진 비용이 기본적으로 포함되어 있어 별도의 관리 비용은 거의 발생하지 않습니다.
추가비용은 처방전으로 약국에서 구매하는 안약 비용 약 3만원정도 발생합니다."
,가격,시술비용,추가비용,수술하고 추가 비용 있나요?,
,가격,시술비용,추가비용,시력교정 수술에는 어떤 항목들이 포함되어 있나요?,
,가격,시술비용,추가비용,수술에 뭐가 포함돼요?,
가격_이벤트_동반할인,가격,이벤트,동반할인,친구랑 같이 수술하면 할인이 더 있나요? ,"네, 고객님. 친구나 가족과 함께 수술을 진행하시는 경우 안내해드린 수술비용에서 10만원 동반 할인 혜택을 드리고 있습니다. 
또한 당일수술을 진행하신다면 추가로 10만원을 할인해드려 최대 20만원까지 수술비용을 할인해드리고 있습니다.
자세한 할인율과 조건은 상담 시점에 따라 달라질 수 있으니, 방문 상담간 문의해주시면 친절하게 안내해 드리겠습니다."
,가격,이벤트,동반할인,같이 가면 할인되나요?,
가격_이벤트_리뷰,가격,이벤트,리뷰,리뷰 작성이 어렵거나 바빠서 힘들면 어떻게 하나요?,"네, 고객님. 수술 전 정성스러운 방문후기를 작성을 약속해주시면 수술비용에서 10만원 할인 혜택을 드리고 있습니다. 
고객님의 소중한 경험이 다른 분들께 큰 도움이 됩니다.
추가 할인 혜택으로 친구나 가족과 함께 수술을 진행하시는 경우 안내해드린 수술비용에서 10만원 동반 할인 혜택을 드리고 있습니다. 
또한 당일수술을 진행하신다면 추가로 10만원을 할인해드려 3가지 항목중 최대 20만원까지 수술비용을 할인해드리고 있습니다.
자세한 할인율과 조건은 상담 시점에 따라 달라질 수 있으니, 방문 상담간 문의해주시면 친절하게 안내해 드리겠습니다."
,가격,이벤트,리뷰,리뷰는 언제까지 작성해서 보내드려야 하나요?,
,가격,이벤트,리뷰,리뷰를 작성하면 어떤 혜택이 있나요?,
,가격,이벤트,리뷰,리뷰를  꼭 작성해야 하나요?,
,가격,이벤트,리뷰,리뷰 꼭 써야 하나요?,
,가격,이벤트,리뷰,리뷰 언제까지 써야 할인돼요?,
,가격,이벤트,리뷰,리뷰 쓰면 할인해주나요?,
가격_이벤트_첫방문할인,가격,이벤트,첫방문할인,처음 방문하는 고객을 위한 할인이 있나요?,"네, 고객님. 저희 병원에서는 첫 방문 고객님들을 위한 다양한 시즌별 이벤트를 진행하고 있습니다. 
수술 전 정성스러운 방문후기를 작성을 약속해주시면 수술비용에서 10만원 할인 혜택을 드리고 있습니다. 
고객님의 소중한 경험이 다른 분들께 큰 도움이 됩니다.
추가 할인 혜택으로 친구나 가족과 함께 수술을 진행하시는 경우 안내해드린 수술비용에서 10만원 동반 할인 혜택을 드리고 있습니다. 
또한 당일수술을 진행하신다면 추가로 10만원을 할인해드려 3가지 항목중 최대 20만원까지 수술비용을 할인해드리고 있습니다.
자세한 할인율과 조건은 상담 시점에 따라 달라질 수 있으니, 방문 상담간 문의해주시면 친절하게 안내해 드리겠습니다."
,가격,이벤트,첫방문할인,첫 방문 할인 얼마예요?,
가격_이벤트_종류,가격,이벤트,종류,현재 받을 수 있는 특별 할인 혜택에는 어떤 것들이 있나요?,"네, 고객님. 저희 병원에서는 첫 방문 고객님들을 위한 다양한 시즌별 이벤트를 진행하고 있습니다. 
수술 전 정성스러운 방문후기를 작성을 약속해주시면 수술비용에서 10만원 할인 혜택을 드리고 있습니다. 
고객님의 소중한 경험이 다른 분들께 큰 도움이 됩니다.
추가 할인 혜택으로 친구나 가족과 함께 수술을 진행하시는 경우 안내해드린 수술비용에서 10만원 동반 할인 혜택을 드리고 있습니다. 
또한 당일수술을 진행하신다면 추가로 10만원을 할인해드려 3가지 항목중 최대 20만원까지 수술비용을 할인해드리고 있습니다.
자세한 할인율과 조건은 상담 시점에 따라 달라질 수 있으니, 방문 상담간 문의해주시면 친절하게 안내해 드리겠습니다.
진행 중인 이벤트는 시기별로 변동될 수 있으니, 상담 시점에 가장 유리한 혜택으로 적용해 드리겠습니다."
,가격,이벤트,종류,혹시 병원에서 진행하는 댓글 이벤트 같은데 참여할 수 있나요?,
,가격,이벤트,종류,할인 뭐뭐 있어요?,
접수방법_방문전준비_도착후절차,접수방법,방문전준비,도착후절차,병원에 도착하면 어디로 가서 어떻게 해야 하나요?  병원 도착했어요,"네, 고객님. 병원 11층에 도착하시면 바로 정면에 보이는 데스크로 오셔서 예약자 성함을 말씀해주시면 됩니다. 
저희 직원이 친절하게 다음 절차를 안내해 드릴 것입니다. 여권을 꼭 챙겨주셔야합니다!"
,접수방법,방문전준비,도착후절차,병원 도착했어요,
방문전_방문전준비_보호자동행,방문전,방문전준비,보호자동행,수술 당일 보호자나 동행인이 꼭 필요한가요?,"네, 고객님. 수술 직후에는 시야가 다소 흐리고 눈이 부실 수 있어 대중교통 이용이나 운전이 어려울 수 있습니다.
혼자 방문해주셔도 큰 문제는 없지만 안전한 귀가를 위해 보호자와 동행하시는 것을 적극적으로 권장해 드립니다. 
혼자 오실 경우, 귀가 시 대중교통이나 택시를 이용하시는 것이 좋습니다."
,방문전,방문전준비,보호자동행,수술 혼자 가도 되나요?,
방문전_방문전준비_속눈썹,방문전,방문전준비,속눈썹,속눈썹 연장이나 인조 속눈썹을 하고 있어도 수술에 영향이 없나요?   속눈썹 붙이고 수술해도 되나요?  속눈썹 펌 언제?,"네, 고객님. 수술 시 소독 과정과 위생적인 환경 유지를 위해 속눈썹 연장, 펌, 인조 속눈썹은 모두 제거하고 오셔야 합니다. 
속눈썹 펌을 한지 최소 3주정도 지나셨다면 큰 문제는 없습니다.
수술 후에는 눈에 자극을 줄 수 있으므로 최소 1개월이 지난 후에 다시 시술받으시는 것이 안전합니다."
,방문전,방문전준비,속눈썹,피부 관리나 속눈썹 펌 같은 시술은 시력교정 수술 전후 언제가 좋을까요?,
,방문전,방문전준비,속눈썹,속눈썹 붙이고 수술해도 되나요?,
,방문전,방문전준비,속눈썹,속눈썹 펌 언제 가능한가요?,
방문전_방문전준비_콘택트렌즈,방문전,방문전준비,콘택트렌즈,수술이나 검사 전에 콘택트렌즈는 얼마나 빼고 있어야 하나요?  렌즈 언제부터 빼야 돼요?,"네, 고객님. 정확한 검사를 위해 콘택트렌즈 착용을 중단해주셔야 합니다. 
렌즈는 각막의 형태를 일시적으로 변화시켜서 정확한 검사결과를 확인하기 어렵습니다.
렌즈별 미착용기간
- 소프트렌즈: 최소 7일 이상
- 난시용 소프트렌즈 / 하드렌즈(RGP): 최소 3주 이상"
,방문전,방문전준비,콘택트렌즈,렌즈 언제부터 빼야 돼요?,
방문전_방문전준비_성형외과,방문전,방문전준비,성형외과,"얼굴에 붕대를 감고 있는데, 시력교정 검사나 수술을 받을 수 있나요? ","네, 고객님. 다른 치료를 받고 계시거나 특이사항이 있으시다면 검사 및 수술 가능 여부를 정확히 판단하기 위해 내원 시 꼭 말씀해주셔야 합니다. 
얼굴 붕대는 검사에 큰영향을 주지않아 방문해주셔도 괜찮습니다! 시술 내용을 사전에 알려주시면 더 정확한 상담이 가능합니다.
눈주변 시술을 받지않으셨다면 검사와 수술과 상관없기때문에 내원해주셔도 됩니다.
다만, 수술후 시술을 눈주변에 받으시는것은 눈 회복에 지장을 줄 수 있기때문에 피부시술을 진행하기전 상담사에게 꼭 말씀해주셔야 합니다."
방문전_방문전준비_피부과,방문전,방문전준비,피부과,"현재 피부과 치료를 받고 있는데, 병원에 방문해서 상담이나 검사를 받아도 괜찮을까요?",
방문전_방문전준비_피부과,방문전,방문전준비,피부과,피부과 다니는데 안과 가도 돼요?,
방문후_수술후관리_부작용,방문후,수술후관리,부작용,수술 후에도 계속 불편하거나 문제가 있으면 다시 병원에 방문해야 하나요?,"네, 고객님. 수술 후 통증, 시력 저하, 심한 이물감, 빛번짐 등 불편한 증상이 지속된다면 주저하지 마시고 즉시 병원으로 방문해주셔서 전문의의 진료를 받아보시는 것이 가장 중요합니다. 
고객님의 눈 상태를 확인하고 적절한 조치를 취해드리겠습니다.
저희 병원에 방문하기 어려우시다면 가까운 안과에 방문하셔서 상태를 확인하시는것을 권장드립니다.
전자기기를 보시는것을 최대한 자제해주시고 수술후 1개월에서 3개월동안 각막이 회복되는 기간이어서 일시적인 흐릿한 증상이 생길 수 있습니다.
처방받으신 안약과 인공눈물을 꾸준히 점안해주셔야 건조증도 방지할 수 있습니다."
,방문후,수술후관리,부작용,수술 후 불편함을 느끼면 어떻게 해야 하나요?,
,방문후,수술후관리,부작용,수술했는데 계속 아파요,
,방문후,수술후관리,부작용,수술하고 아픈데 어떡하죠?,
,방문후,수술후관리,부작용,수술 후 앞이 뿌옇게 보여요,
,방문후,수술후관리,부작용,수술 후 앞이 잘 안보여요,
,방문후,수술후관리,부작용,수술 후 흐릿하게 보여요,
,방문후,수술후관리,부작용,수술 후 눈이 건조해요,
방문후_수술후관리_야간운전,방문후,수술후관리,야간운전,노안 레이저 수술 후 야간 운전 시 특별히 주의할 점이 있나요?,"네, 고객님. 수술 초기에는 빛 번짐 현상으로 인해 야간 운전 시 불편함을 느낄 수 있습니다. 
대부분 시간이 지나면서 증상이 완화되지만, 회복 기간 중 야간 운전은 가급적 피해주시고, 운전이 꼭 필요한 경우 평소보다 서행하며 안전거리를 충분히 확보하시는 것이 좋습니다."
,방문후,수술후관리,야간운전,노안 수술하고 밤에 운전해도 되나요?,
방문후_수술후관리_운전,방문후,수술후관리,운전,수술후 운전할 수 있나요?,"네, 고객님. 수술 초기에는 빛 번짐, 흐릿함과 같은 일시적인 현상으로 인해 운전 시 불편함을 느낄 수 있습니다. 
대부분 시간이 지나면서 증상이 완화되지만, 회복 기간 중 야간 운전은 가급적 피해주시고, 운전이 꼭 필요한 경우 평소보다 서행하며 안전거리를 충분히 확보하시는 것이 좋습니다."
방문후_수술후관리_음주,방문후,수술후관리,음주,수술 후 언제부터 술을 마셔도 되나요? ,"네, 고객님. 수술 당일에는 눈에 무리가 가지 않도록 충분한 휴식을 취하는 것이 가장 중요합니다. 
수술후 주의사항에 대해서 안내해드리겠습니다!
눈 비비지 않기: 눈을 비비거나 만지는 것을 피해야 합니다. 😊
안약과 인공눈물 사용: 의사의 지시에 따라 안약과 인공눈물을 꾸준히 사용해야 합니다. 💦
자외선 차단: 선글라스, 모자 등을 착용하여 자외선으로부터 눈을 보호해야 합니다. 😎
정기적인 안과 검진: 수술 후에는 정기적으로 안과 검진을 받아 눈 상태를 확인해야 합니다. 🏥
장시간 눈 사용 피하기: 수술 후 약 1주일 동안은 컴퓨터, 스마트폰 등을 장시간 사용하는 것을 피해야 합니다. 😂
사우나 및 수영장 피하기: 수술 후 약 한 달 동안은 사우나와 수영장 이용을 피해야 합니다. 👀
음주 피하기 : 수술 후 음주는 염증을 유발하고 회복을 더디게 할 수 있으므로, 최소 2주간은 반드시 금주하셔야 합니다. 이후 한 달까지는 과음을 피하시는 것이 안전한 회복에 도움이 됩니다."
,방문후,수술후관리,음주,수술하고 술 마셔도 돼요?,
방문후_수술후관리_일상활동,방문후,수술후관리,일상활동,수술 당일에 어떤 활동을 할 수 있나요?,
,방문후,수술후관리,일상활동,수술 당일에 특별히 주의해야 할 점들이 있나요?,
,방문후,수술후관리,일상활동,수술날 뭐 조심해야 돼요?,
방문후_수술후관리_정기검진,방문후,수술후관리,정기검진,수술 후 병원에는 언제 다시 방문해야 하나요?,"네, 고객님. 수술 후 정기 검진 일정은 수술 종류와 개인의 회복 상태에 따라 조금씩 다릅니다. 
일반적으로는 수술 다음 날, 1주 후, 1개월 후, 3개월 후에 방문하시게 되며, 이후 안정적인 시력 유지를 위해 6개월~1년 단위의 정기 검진을 권장합니다.
저희 병원에 방문하기 어려우시다면 동네 안과에서 진료를 받으셔도 문제 없습니다."
,방문후,수술후관리,정기검진,수술하고 언제 병원 가요?,
방문후_수술후관리_성형,방문후,수술후관리,성형,레이저 근시 수술과 얼굴 성형 수술을 같은 날에 할 수 있나요?,"네, 고객님. 안전을 위해 시력교정술과 다른 부위의 성형수술은 동시에 진행하지 않는 것을 원칙으로 합니다. 
특히 수면 마취가 필요한 수술의 경우, 각 수술 사이에 최소 2주의 간격을 두어 몸이 충분히 회복할 시간을 갖는 것이 중요합니다.
꼭 성형하기전 눈 수술한 상황을 상담간 말씀해주셔야 성형에 참고가 될 수 있도록 해주셔야합니다."
,방문후,수술후관리,성형,코 성형수술 회복 기간 중에 레이저 시력교정이나 ICL 수술을 받아도 괜찮을까요? ,"네, 고객님. 다른 치료를 받고 계시거나 특이사항이 있으시다면 검사 및 수술 가능 여부를 정확히 판단하기 위해 내원 시 꼭 말씀해주셔야 합니다. 
코성형은 검사와 성형에 큰영향을 주지않아 방문해주셔도 괜찮습니다! 시술 내용을 사전에 알려주시면 더 정확한 상담이 가능합니다.
눈주변 시술을 받지않으셨다면 검사와 수술과 상관없기때문에 내원해주셔도 됩니다.
다만, 수술후 시술이나 성형을 눈주변에 받으시는것은 눈 회복에 지장을 줄 수 있기때문에 피부시술이나 성형을 진행하기전 상담사에게 꼭 말씀해주셔야 합니다."
,방문후,수술후관리,성형,시력교정 수술과 같은 날이나 다음 날 다른 병원에서 턱 지방흡입 수술을 받아도 괜찮을까요? ,"네, 고객님. 안전을 위해 시력교정술과 다른 부위의 성형수술은 동시에 진행하지 않는 것을 원칙으로 합니다. 
특히 수면 마취가 필요한 수술의 경우, 각 수술 사이에 최소 2주의 간격을 두어 몸이 충분히 회복할 시간을 갖는 것이 중요합니다.
꼭 성형하기전 눈 수술한 상황을 상담간 말씀해주셔야 성형에 참고가 될 수 있도록 해주셔야합니다."
,방문후,수술후관리,성형,성형수술이랑 같이 해도 돼요? ,
,방문후,수술후관리,성형,코 수술하고 눈 수술 언제 가능?,"네, 고객님. 다른 치료를 받고 계시거나 특이사항이 있으시다면 검사 및 수술 가능 여부를 정확히 판단하기 위해 내원 시 꼭 말씀해주셔야 합니다. 
코성형은 검사와 수술에 큰영향을 주지않아 방문해주셔도 괜찮습니다! 시술 내용을 사전에 알려주시면 더 정확한 상담이 가능합니다.
눈주변 시술을 받지않으셨다면 검사와 수술과 상관없기때문에 내원해주셔도 됩니다.
다만, 수술후 시술이나 성형을 눈주변에 받으시는것은 눈 회복에 지장을 줄 수 있기때문에 피부시술이나 성형을 진행하기전 시력교정술을 진행하시는것을 추천드립니다."
,방문후,수술후관리,성형,눈 수술하고 바로 턱 수술 가능?,"네, 고객님. 안전을 위해 시력교정술과 다른 부위의 성형수술은 동시에 진행하지 않는 것을 원칙으로 합니다. 
특히 수면 마취가 필요한 수술의 경우, 각 수술 사이에 최소 2주의 간격을 두어 몸이 충분히 회복할 시간을 갖는 것이 중요합니다.
꼭 성형하기전 눈 수술한 상황을 상담간 말씀해주셔야 성형에 참고가 될 수 있도록 해주셔야합니다."
,방문후,수술후관리,성형,눈 수술하고 바로 가슴 수술 가능?,
방문후_수술후관리_화장,방문후,수술후관리,화장,수술 후 얼마나 지나야 눈 화장을 할 수 있나요?,"네, 고객님. 수술 후 화장 가능 시기에 대해 안내해 드립니다. 
기초 화장(피부)은 수술 3일 후부터 가능하며, 감염의 위험이 있는 눈 화장(아이라이너, 마스카라 등)은 최소 2주 후부터 하시는 것을 권장합니다.
수술후 주의사항에 대해서 안내해드리겠습니다!
눈 비비지 않기: 눈을 비비거나 만지는 것을 피해야 합니다. 😊
안약과 인공눈물 사용: 의사의 지시에 따라 안약과 인공눈물을 꾸준히 사용해야 합니다. 💦
자외선 차단: 선글라스, 모자 등을 착용하여 자외선으로부터 눈을 보호해야 합니다. 😎
정기적인 안과 검진: 수술 후에는 정기적으로 안과 검진을 받아 눈 상태를 확인해야 합니다. 🏥
장시간 눈 사용 피하기: 수술 후 약 1주일 동안은 컴퓨터, 스마트폰 등을 장시간 사용하는 것을 피해야 합니다. 😂
사우나 및 수영장 피하기: 수술 후 약 한 달 동안은 사우나와 수영장 이용을 피해야 합니다. 👀
음주 피하기 : 수술 후 음주는 염증을 유발하고 회복을 더디게 할 수 있으므로, 최소 2주간은 반드시 금주하셔야 합니다. 이후 한 달까지는 과음을 피하시는 것이 안전한 회복에 도움이 됩니다."
,방문후,수술후관리,화장,수술하고 화장 언제부터 가능해요?,
시술정보_시력정보_라식스마일추천,시술정보,시력정보,라식스마일추천,양쪽 눈 근시와 난시가 300~400도 정도인데 어떤 수술이 좋을까요?,"네, 고객님. 해당 시력은 Lasik 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라식스마일추천,"근시 550도, 난시 350도인데 어떤 수술이 적합할까요?","네, 고객님. 해당 시력은 Lasik 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라식스마일추천,근시 300도 난시 300도 수술 ,"네, 고객님. 해당 시력은 Lasik 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라식스마일추천,근시 550 난시 350 수술,"네, 고객님. 해당 시력은 Lasik 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라식스마일추천,근시 300도 난시 200도,"네, 고객님. 해당 시력은 Lasik 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라식스마일추천,근시 400도 난시 200도,"네, 고객님. 해당 시력은 Lasik 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라식스마일추천,근시 300도 난시 250도,"네, 고객님. 해당 시력은 Lasik 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라식스마일추천,근시 350도 난시 300도,"네, 고객님. 해당 시력은 Lasik 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라식스마일추천,근시 450도 난시 200도,"네, 고객님. 해당 시력은 Lasik 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라식스마일추천,근시 500도 난시 200도,"네, 고객님. 해당 시력은 Lasik 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라식스마일추천,근시 500도 난시 250도,"네, 고객님. 해당 시력은 Lasik 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
